source,metric_path,metric,value
experiments\20260519_143756_phase3_specialists\summary.json,specialists[2].base_auc,base_auc,0.9098744474559124
experiments\20260520_143243_catboost_diversity_smoke\meta_seed00_stratified_rs0p1_bt0p0_rsm1p0.json,subgroup.Compound_macro_auc,Compound_macro_auc,0.9084632627299708
experiments\20260520_143243_catboost_diversity_smoke\summary.json,models[0].subgroup.Compound_macro_auc,Compound_macro_auc,0.9084632627299708
experiments\20260519_152759_validation_reset\summary.json,best_by_raceyear_p10.RaceYear_macro_auc,RaceYear_macro_auc,0.9080771730989864
experiments\20260520_143243_catboost_diversity_smoke\summary.json,models[0].subgroup.Year_p10_auc,Year_p10_auc,0.9066725414380815
experiments\20260520_143243_catboost_diversity_smoke\meta_seed00_stratified_rs0p1_bt0p0_rsm1p0.json,subgroup.Year_p10_auc,Year_p10_auc,0.9066725414380815
experiments\20260518_153652_s0_lgbm_ensemble_summary.json,hill_auc,hill_auc,0.9065722349577094
experiments\20260518_153652_s0_lgbm_ensemble_summary.json,logit_auc,logit_auc,0.9065722349577094
experiments\20260518_153652_s0_lgbm_ensemble_summary.json,mean_auc,mean_auc,0.9065722349577094
experiments\20260518_153652_s0_lgbm_ensemble_summary.json,rank_auc,rank_auc,0.9065722349577094
